feature,feature_group,target,unique_count,test_shift_tvd,cramers_v
action_group,stroke_state,next_actionId,5,0.12949326266798564,0.4578091549812131
serve_receive_phase,temporal,next_actionId,3,0.17448862007461277,0.4266815177698119
prev_handId,sequence_derived,next_actionId,3,0.12928635718644804,0.42526364843911385
position_changed,sequence_derived,next_actionId,2,0.13876015178605627,0.3837177113026391
prev_strikeId,sequence_derived,next_actionId,4,0.17448862007461274,0.35615428707860747
action_bigram,sequence_derived,next_actionId,235,0.21965054664582503,0.3558520673517537
action_point_combo,stroke_state,next_actionId,182,0.19339438612474186,0.3293562341389546
stage_bucket,temporal,next_actionId,5,0.17448862007461274,0.3189188573049434
prev_spinId,sequence_derived,next_actionId,6,0.14023434584789815,0.3096143729173358
prev_positionId,sequence_derived,next_actionId,5,0.2027012958077793,0.29910259365091707
prev_strengthId,sequence_derived,next_actionId,5,0.12928635718644804,0.296931812390723
action_spin_combo,stroke_state,next_actionId,91,0.19285327914912012,0.29380151866307513
hand_action_combo,stroke_state,next_actionId,38,0.1710883708751519,0.28705827148286434
prev_actionId,sequence_derived,next_actionId,20,0.1943428571273265,0.269008779225086
spin_bigram,sequence_derived,next_actionId,30,0.14846283460038076,0.24819410427713093
hand_changed,sequence_derived,next_actionId,2,0.07331187557446875,0.2346346466879321
strike_parity,temporal,next_actionId,2,0.04295990419812967,0.2271273923159233
spin_changed,sequence_derived,next_actionId,2,0.06013749967785301,0.2257371018127258
prev_pointId,sequence_derived,next_actionId,11,0.1416266322459165,0.21301913059078553
prefix_unique_action_count,sequence_derived,next_actionId,11,0.16005062471570336,0.20845453894506139
action_changed,sequence_derived,next_actionId,2,0.053168393715451547,0.18159993190283716
prefix_attack_count,sequence_derived,next_actionId,30,0.13746260297431656,0.1790265197853437
point_changed,sequence_derived,next_actionId,2,0.02533757004817909,0.15201788149597747
same_action_run_bucket,sequence_derived,next_actionId,4,0.053168393715451547,0.1291788149135519
prefix_serve_count,sequence_derived,next_actionId,3,0.0646608547091299,0.12077958048251032
prefix_defense_count,sequence_derived,next_actionId,24,0.10659231472137118,0.09284229171289028
prefix_control_count,sequence_derived,next_actionId,41,0.11064224561405304,0.0899143980836254
same_action_run_len,sequence_derived,next_actionId,40,0.05316839371545155,0.06282761597557965
is_deuce_like,context,next_actionId,2,0.01727122593562185,0.036983231678125415
lead_state,context,next_actionId,3,0.09395271477322166,0.03283243301225
score_total,context,next_actionId,30,0.2695748125328502,0.02794714610381361
is_game_point_other,context,next_actionId,2,0.00032197509757615067,0.027373193679427237
is_close_score,context,next_actionId,2,0.06397605260201059,0.0269959029157061
score_diff,context,next_actionId,21,0.09497764971552265,0.02465710570507838
is_game_point_self,context,next_actionId,2,0.0014827953058055426,0.017550847718798727
action_point_combo,stroke_state,next_pointId,182,0.19339438612474186,0.19990887357887238
action_group,stroke_state,next_pointId,5,0.12949326266798564,0.1768070093255587
serve_receive_phase,temporal,next_pointId,3,0.17448862007461277,0.17252784895920048
action_bigram,sequence_derived,next_pointId,235,0.21965054664582503,0.17175007818553958
prev_handId,sequence_derived,next_pointId,3,0.12928635718644804,0.17097974484027548
action_spin_combo,stroke_state,next_pointId,91,0.19285327914912012,0.15293218747993942
hand_action_combo,stroke_state,next_pointId,38,0.1710883708751519,0.14871814276343923
prev_strikeId,sequence_derived,next_pointId,4,0.17448862007461274,0.14495645166558221
stage_bucket,temporal,next_pointId,5,0.17448862007461274,0.1382553942593202
spin_bigram,sequence_derived,next_pointId,30,0.14846283460038076,0.136891404194074
prev_spinId,sequence_derived,next_pointId,6,0.14023434584789815,0.13462267673465306
position_changed,sequence_derived,next_pointId,2,0.13876015178605627,0.13137618161972683
action_changed,sequence_derived,next_pointId,2,0.053168393715451547,0.12189143730619736
prev_strengthId,sequence_derived,next_pointId,5,0.12928635718644804,0.12175618494511334
prev_positionId,sequence_derived,next_pointId,5,0.2027012958077793,0.12131850238615405
prev_pointId,sequence_derived,next_pointId,11,0.1416266322459165,0.1186797693665488
prev_actionId,sequence_derived,next_pointId,20,0.1943428571273265,0.11088324994129788
same_action_run_bucket,sequence_derived,next_pointId,4,0.053168393715451547,0.10462317410893089
spin_changed,sequence_derived,next_pointId,2,0.06013749967785301,0.1040193409410482
hand_changed,sequence_derived,next_pointId,2,0.07331187557446875,0.10094485993081952
strike_parity,temporal,next_pointId,2,0.04295990419812967,0.0953120261751089
prefix_attack_count,sequence_derived,next_pointId,30,0.13746260297431656,0.09292919557406287
prefix_control_count,sequence_derived,next_pointId,41,0.11064224561405304,0.08570897982735096
prefix_unique_action_count,sequence_derived,next_pointId,11,0.16005062471570336,0.08482119486610956
same_action_run_len,sequence_derived,next_pointId,40,0.05316839371545155,0.07835086615668949
prefix_serve_count,sequence_derived,next_pointId,3,0.0646608547091299,0.07168637143223536
point_changed,sequence_derived,next_pointId,2,0.02533757004817909,0.06586227684223822
prefix_defense_count,sequence_derived,next_pointId,24,0.10659231472137118,0.04891369808363624
score_total,context,next_pointId,30,0.2695748125328502,0.026574557582541875
lead_state,context,next_pointId,3,0.09395271477322166,0.023115231986827987
score_diff,context,next_pointId,21,0.09497764971552265,0.02218156608650728
is_game_point_self,context,next_pointId,2,0.0014827953058055426,0.020833027132043862
is_deuce_like,context,next_pointId,2,0.01727122593562185,0.01703558009454658
is_close_score,context,next_pointId,2,0.06397605260201059,0.017013199559052356
is_game_point_other,context,next_pointId,2,0.00032197509757615067,0.01458217599321848
strike_parity,temporal,target_serverGetPoint,2,0.04295990419812967,0.11320543793678776
action_bigram,sequence_derived,target_serverGetPoint,235,0.21965054664582503,0.1019950446547875
prev_strikeId,sequence_derived,target_serverGetPoint,4,0.17448862007461274,0.08088688017054607
action_point_combo,stroke_state,target_serverGetPoint,182,0.19339438612474186,0.0753405990311117
spin_bigram,sequence_derived,target_serverGetPoint,30,0.14846283460038076,0.060484053595820014
prefix_unique_action_count,sequence_derived,target_serverGetPoint,11,0.16005062471570336,0.060291033324691434
score_total,context,target_serverGetPoint,30,0.2695748125328502,0.05996184103414371
action_spin_combo,stroke_state,target_serverGetPoint,91,0.19285327914912012,0.05872067687965289
prev_actionId,sequence_derived,target_serverGetPoint,20,0.1943428571273265,0.055894801499185805
prefix_control_count,sequence_derived,target_serverGetPoint,41,0.11064224561405304,0.05392165145884763
position_changed,sequence_derived,target_serverGetPoint,2,0.13876015178605627,0.047302161341672345
hand_action_combo,stroke_state,target_serverGetPoint,38,0.1710883708751519,0.04634326715922475
stage_bucket,temporal,target_serverGetPoint,5,0.17448862007461274,0.04550718175397904
prev_positionId,sequence_derived,target_serverGetPoint,5,0.2027012958077793,0.04184442517792439
serve_receive_phase,temporal,target_serverGetPoint,3,0.17448862007461277,0.04134852704378122
prev_spinId,sequence_derived,target_serverGetPoint,6,0.14023434584789815,0.039624387619991666
score_diff,context,target_serverGetPoint,21,0.09497764971552265,0.0352392739210418
prefix_attack_count,sequence_derived,target_serverGetPoint,30,0.13746260297431656,0.03247205101022728
prefix_defense_count,sequence_derived,target_serverGetPoint,24,0.10659231472137118,0.03156739571034401
same_action_run_len,sequence_derived,target_serverGetPoint,40,0.05316839371545155,0.02979773353745213
prev_handId,sequence_derived,target_serverGetPoint,3,0.12928635718644804,0.029788959924942
action_group,stroke_state,target_serverGetPoint,5,0.12949326266798564,0.02870435022170735
prev_pointId,sequence_derived,target_serverGetPoint,11,0.1416266322459165,0.028496883433964105
prev_strengthId,sequence_derived,target_serverGetPoint,5,0.12928635718644804,0.027099904419387973
is_game_point_self,context,target_serverGetPoint,2,0.0014827953058055426,0.021596210536253414
is_game_point_other,context,target_serverGetPoint,2,0.00032197509757615067,0.018572376998698133
spin_changed,sequence_derived,target_serverGetPoint,2,0.06013749967785301,0.01662038063541103
lead_state,context,target_serverGetPoint,3,0.09395271477322166,0.01596138020316025
same_action_run_bucket,sequence_derived,target_serverGetPoint,4,0.053168393715451547,0.015919878484568144
is_deuce_like,context,target_serverGetPoint,2,0.01727122593562185,0.015352964411174192
action_changed,sequence_derived,target_serverGetPoint,2,0.053168393715451547,0.015180410928759986
hand_changed,sequence_derived,target_serverGetPoint,2,0.07331187557446875,0.0143838877430924
point_changed,sequence_derived,target_serverGetPoint,2,0.02533757004817909,0.009458705228349832
prefix_serve_count,sequence_derived,target_serverGetPoint,3,0.0646608547091299,0.008107181559440218
is_close_score,context,target_serverGetPoint,2,0.06397605260201059,0.0022255831665048084
